anime_id,name,genre,type,episodes,rating,members,combined_features,weighted_features
17074,Monogatari Series: Second Season,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']",TV,26,8.8,205959,"Comedy, Mystery, Romance, Supernatural, Vampire TV 8.8","Comedy, Mystery, Romance, Supernatural, Vampire TV Rating:77.44000000000001 Members:205959"
21939,Mushishi Zoku Shou,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,10,8.8,101351,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV 8.8","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV Rating:77.44000000000001 Members:101351"
457,Mushishi,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,26,8.78,300030,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV 8.78","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV Rating:77.0884 Members:300030"
2001,Tengen Toppa Gurren Lagann,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",TV,27,8.78,562962,"Action, Adventure, Comedy, Mecha, Sci-Fi TV 8.78","Action, Adventure, Comedy, Mecha, Sci-Fi TV Rating:77.0884 Members:562962"
245,Great Teacher Onizuka,"['Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life']",TV,43,8.77,268487,"Comedy, Drama, School, Shounen, Slice of Life TV 8.77","Comedy, Drama, School, Shounen, Slice of Life TV Rating:76.9129 Members:268487"
32983,Natsume Yuujinchou Go,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.76,38865,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV 8.76","Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Rating:76.7376 Members:38865"
5258,Hajime no Ippo: New Challenger,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,26,8.75,88995,"Comedy, Drama, Shounen, Sports TV 8.75","Comedy, Drama, Shounen, Sports TV Rating:76.5625 Members:88995"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",Movie,1,8.75,32266,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Movie 8.75","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Movie Rating:76.5625 Members:32266"
11665,Natsume Yuujinchou Shi,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.75,98431,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV 8.75","Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Rating:76.5625 Members:98431"
431,Howl no Ugoku Shiro,"['Adventure', 'Drama', 'Fantasy', 'Romance']",Movie,1,8.74,333186,"Adventure, Drama, Fantasy, Romance Movie 8.74","Adventure, Drama, Fantasy, Romance Movie Rating:76.3876 Members:333186"
11741,Fate/Zero 2nd Season,"['Action', 'Fantasy', 'Supernatural', 'Thriller']",TV,12,8.73,340973,"Action, Fantasy, Supernatural, Thriller TV 8.73","Action, Fantasy, Supernatural, Thriller TV Rating:76.2129 Members:340973"
31757,Kizumonogatari II: Nekketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",Movie,1,8.73,34347,"Action, Mystery, Supernatural, Vampire Movie 8.73","Action, Mystery, Supernatural, Vampire Movie Rating:76.2129 Members:34347"
19,Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,74,8.72,247562,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller TV 8.72","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller TV Rating:76.03840000000001 Members:247562"
12365,Bakuman. 3rd Season,"['Comedy', 'Drama', 'Romance', 'Shounen']",TV,25,8.71,133620,"Comedy, Drama, Romance, Shounen TV 8.71","Comedy, Drama, Romance, Shounen TV Rating:75.86410000000002 Members:133620"
1535,Death Note,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']",TV,37,8.71,1013917,"Mystery, Police, Psychological, Supernatural, Thriller TV 8.71","Mystery, Police, Psychological, Supernatural, Thriller TV Rating:75.86410000000002 Members:1013917"
32366,Gintama°: Aizome Kaori-hen,"['Comedy', 'Parody']",OVA,2,8.69,16947,"Comedy, Parody OVA 8.69","Comedy, Parody OVA Rating:75.5161 Members:16947"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"['Action', 'Comedy', 'School', 'Shounen']",TV,25,8.68,176475,"Action, Comedy, School, Shounen TV 8.68","Action, Comedy, School, Shounen TV Rating:75.3424 Members:176475"
20583,Haikyuu!!,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,25,8.68,284498,"Comedy, Drama, School, Shounen, Sports TV 8.68","Comedy, Drama, School, Shounen, Sports TV Rating:75.3424 Members:284498"
19647,Hajime no Ippo: Rising,"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,25,8.68,66756,"Comedy, Drama, Shounen, Sports TV 8.68","Comedy, Drama, Shounen, Sports TV Rating:75.3424 Members:66756"
4282,Kara no Kyoukai 5: Mujun Rasen,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Thriller']",Movie,1,8.68,111074,"Action, Drama, Mystery, Romance, Supernatural, Thriller Movie 8.68","Action, Drama, Mystery, Romance, Supernatural, Thriller Movie Rating:75.3424 Members:111074"
10379,Natsume Yuujinchou San,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.67,102322,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV 8.67","Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Rating:75.1689 Members:102322"
22135,Ping Pong The Animation,"['Psychological', 'Seinen', 'Sports']",TV,11,8.67,97187,"Psychological, Seinen, Sports TV 8.67","Psychological, Seinen, Sports TV Rating:75.1689 Members:97187"
21329,Mushishi Special: Hihamukage,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",Special,1,8.66,49036,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Special 8.66","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Special Rating:74.9956 Members:49036"
31043,Boku dake ga Inai Machi,"['Mystery', 'Psychological', 'Seinen', 'Supernatural']",TV,12,8.65,402381,"Mystery, Psychological, Seinen, Supernatural TV 8.65","Mystery, Psychological, Seinen, Supernatural TV Rating:74.8225 Members:402381"
7785,Yojouhan Shinwa Taikei,"['Mystery', 'Psychological', 'Romance']",TV,11,8.65,122531,"Mystery, Psychological, Romance TV 8.65","Mystery, Psychological, Romance TV Rating:74.8225 Members:122531"
3297,Aria The Origination,"['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']",TV,13,8.64,56162,"Fantasy, Sci-Fi, Shounen, Slice of Life TV 8.64","Fantasy, Sci-Fi, Shounen, Slice of Life TV Rating:74.6496 Members:56162"
30709,Kamisama Hajimemashita: Kako-hen,"['Comedy', 'Demons', 'Fantasy', 'Shoujo', 'Supernatural']",OVA,4,8.64,33422,"Comedy, Demons, Fantasy, Shoujo, Supernatural OVA 8.64","Comedy, Demons, Fantasy, Shoujo, Supernatural OVA Rating:74.6496 Members:33422"
6114,Rainbow: Nisha Rokubou no Shichinin,"['Drama', 'Historical', 'Seinen', 'Thriller']",TV,26,8.64,139474,"Drama, Historical, Seinen, Thriller TV 8.64","Drama, Historical, Seinen, Thriller TV Rating:74.6496 Members:139474"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"['Drama', 'Fantasy', 'Psychological', 'Thriller']",TV,25,8.64,355839,"Drama, Fantasy, Psychological, Thriller TV 8.64","Drama, Fantasy, Psychological, Thriller TV Rating:74.6496 Members:355839"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']",Movie,1,8.64,82253,"Action, Mecha, Sci-Fi, Space, Super Power Movie 8.64","Action, Mecha, Sci-Fi, Space, Super Power Movie Rating:74.6496 Members:82253"
5300,Zoku Natsume Yuujinchou,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,13,8.64,114173,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV 8.64","Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Rating:74.6496 Members:114173"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Drama', 'Slice of Life', 'Supernatural']",TV,11,8.62,463835,"Drama, Slice of Life, Supernatural TV 8.62","Drama, Slice of Life, Supernatural TV Rating:74.30439999999999 Members:463835"
24415,Kuroko no Basket 3rd Season,"['Comedy', 'School', 'Shounen', 'Sports']",TV,25,8.62,184525,"Comedy, School, Shounen, Sports TV 8.62","Comedy, School, Shounen, Sports TV Rating:74.30439999999999 Members:184525"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"['Sci-Fi', 'Thriller']",Movie,1,8.61,192424,"Sci-Fi, Thriller Movie 8.61","Sci-Fi, Thriller Movie Rating:74.1321 Members:192424"
10408,Hotarubi no Mori e,"['Drama', 'Romance', 'Shoujo', 'Supernatural']",Movie,1,8.61,197439,"Drama, Romance, Shoujo, Supernatural Movie 8.61","Drama, Romance, Shoujo, Supernatural Movie Rating:74.1321 Members:197439"
28171,Shokugeki no Souma,"['Ecchi', 'School', 'Shounen']",TV,24,8.61,348951,"Ecchi, School, Shounen TV 8.61","Ecchi, School, Shounen TV Rating:74.1321 Members:348951"
32995,Yuri!!! on Ice,"['Comedy', 'Sports']",TV,12,8.61,103178,"Comedy, Sports TV 8.61","Comedy, Sports TV Rating:74.1321 Members:103178"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Movie,2,8.6,11104,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie 8.6","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie Rating:73.96 Members:11104"
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"['Action', 'Adventure', 'Drama', 'Shounen', 'Supernatural']",TV,24,8.6,93657,"Action, Adventure, Drama, Shounen, Supernatural TV 8.6","Action, Adventure, Drama, Shounen, Supernatural TV Rating:73.96 Members:93657"
7472,Gintama Movie: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Movie,1,8.59,51185,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie 8.59","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie Rating:73.7881 Members:51185"
777,Hellsing Ultimate,"['Action', 'Horror', 'Military', 'Seinen', 'Supernatural', 'Vampire']",OVA,10,8.59,297454,"Action, Horror, Military, Seinen, Supernatural, Vampire OVA 8.59","Action, Horror, Military, Seinen, Supernatural, Vampire OVA Rating:73.7881 Members:297454"
22535,Kiseijuu: Sei no Kakuritsu,"['Action', 'Drama', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen']",TV,24,8.59,425457,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen TV 8.59","Action, Drama, Horror, Psychological, Sci-Fi, Seinen TV Rating:73.7881 Members:425457"
28735,Shouwa Genroku Rakugo Shinjuu,"['Drama', 'Historical', 'Josei']",TV,13,8.59,71295,"Drama, Historical, Josei TV 8.59","Drama, Historical, Josei TV Rating:73.7881 Members:71295"
12431,Uchuu Kyoudai,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']",TV,99,8.59,72958,"Comedy, Sci-Fi, Seinen, Slice of Life, Space TV 8.59","Comedy, Sci-Fi, Seinen, Slice of Life, Space TV Rating:73.7881 Members:72958"
28805,Bakemono no Ko,"['Adventure', 'Supernatural']",Movie,1,8.58,80825,"Adventure, Supernatural Movie 8.58","Adventure, Supernatural Movie Rating:73.6164 Members:80825"
578,Hotaru no Haka,"['Drama', 'Historical']",Movie,1,8.58,174878,"Drama, Historical Movie 8.58","Drama, Historical Movie Rating:73.6164 Members:174878"
16894,Kuroko no Basket 2nd Season,"['Comedy', 'School', 'Shounen', 'Sports']",TV,25,8.58,243325,"Comedy, School, Shounen, Sports TV 8.58","Comedy, School, Shounen, Sports TV Rating:73.6164 Members:243325"
5028,Major S5,"['Comedy', 'Drama', 'Romance', 'Sports']",TV,25,8.58,28653,"Comedy, Drama, Romance, Sports TV 8.58","Comedy, Drama, Romance, Sports TV Rating:73.6164 Members:28653"
21,One Piece,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",TV,Unknown,8.58,504862,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power TV 8.58","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power TV Rating:73.6164 Members:504862"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"['Action', 'Mecha', 'Military', 'Mystery', 'Police', 'Sci-Fi', 'Seinen']",TV,26,8.57,113993,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen TV 8.57","Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen TV Rating:73.4449 Members:113993"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Supernatural']",TV,39,8.57,74074,"Action, Adventure, Comedy, Drama, Shounen, Supernatural TV 8.57","Action, Adventure, Comedy, Drama, Shounen, Supernatural TV Rating:73.4449 Members:74074"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"['Action', 'Mystery', 'Romance', 'Supernatural', 'Thriller']",Movie,1,8.57,95658,"Action, Mystery, Romance, Supernatural, Thriller Movie 8.57","Action, Mystery, Romance, Supernatural, Thriller Movie Rating:73.4449 Members:95658"
17389,Kingdom 2nd Season,"['Action', 'Historical', 'Military', 'Seinen']",TV,39,8.57,31234,"Action, Historical, Military, Seinen TV 8.57","Action, Historical, Military, Seinen TV Rating:73.4449 Members:31234"
170,Slam Dunk,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,101,8.56,82570,"Comedy, Drama, School, Shounen, Sports TV 8.56","Comedy, Drama, School, Shounen, Sports TV Rating:73.2736 Members:82570"
10162,Usagi Drop,"['Josei', 'Slice of Life']",TV,11,8.56,194855,"Josei, Slice of Life TV 8.56","Josei, Slice of Life TV Rating:73.2736 Members:194855"
18617,Girls und Panzer der Film,"['Military', 'School']",Movie,1,8.55,25641,"Military, School Movie 8.55","Military, School Movie Rating:73.1025 Members:25641"
32182,Mob Psycho 100,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']",TV,12,8.55,193716,"Action, Comedy, Slice of Life, Supernatural TV 8.55","Action, Comedy, Slice of Life, Supernatural TV Rating:73.1025 Members:193716"
877,Nana,"['Comedy', 'Drama', 'Music', 'Romance', 'Shoujo', 'Slice of Life']",TV,47,8.55,197256,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life TV 8.55","Comedy, Drama, Music, Romance, Shoujo, Slice of Life TV Rating:73.1025 Members:197256"
2251,Baccano!,"['Action', 'Comedy', 'Historical', 'Mystery', 'Seinen', 'Supernatural']",TV,13,8.54,363215,"Action, Comedy, Historical, Mystery, Seinen, Supernatural TV 8.54","Action, Comedy, Historical, Mystery, Seinen, Supernatural TV Rating:72.93159999999999 Members:363215"
24687,Mushishi Zoku Shou: Odoro no Michi,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",Special,1,8.54,34011,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Special 8.54","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Special Rating:72.93159999999999 Members:34011"
16498,Shingeki no Kyojin,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",TV,25,8.54,896229,"Action, Drama, Fantasy, Shounen, Super Power TV 8.54","Action, Drama, Fantasy, Shounen, Super Power TV Rating:72.93159999999999 Members:896229"
10030,Bakuman. 2nd Season,"['Comedy', 'Drama', 'Romance', 'Shounen']",TV,25,8.53,151561,"Comedy, Drama, Romance, Shounen TV 8.53","Comedy, Drama, Romance, Shounen TV Rating:72.76089999999999 Members:151561"
5941,Cross Game,"['Comedy', 'Drama', 'Romance', 'School', 'Sports']",TV,50,8.53,53108,"Comedy, Drama, Romance, School, Sports TV 8.53","Comedy, Drama, Romance, School, Sports TV Rating:72.76089999999999 Members:53108"
30346,Doukyuusei (Movie),"['Romance', 'School', 'Shounen Ai', 'Slice of Life']",Movie,1,8.53,28864,"Romance, School, Shounen Ai, Slice of Life Movie 8.53","Romance, School, Shounen Ai, Slice of Life Movie Rating:72.76089999999999 Members:28864"
3784,Evangelion: 2.0 You Can (Not) Advance,"['Action', 'Mecha', 'Sci-Fi']",Movie,1,8.53,182224,"Action, Mecha, Sci-Fi Movie 8.53","Action, Mecha, Sci-Fi Movie Rating:72.76089999999999 Members:182224"
13125,Shinsekai yori,"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']",TV,25,8.53,288376,"Drama, Horror, Mystery, Sci-Fi, Supernatural TV 8.53","Drama, Horror, Mystery, Sci-Fi, Supernatural TV Rating:72.76089999999999 Members:288376"
12029,Uchuu Senkan Yamato 2199,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",OVA,26,8.53,44223,"Action, Drama, Military, Sci-Fi, Space OVA 8.53","Action, Drama, Military, Sci-Fi, Space OVA Rating:72.76089999999999 Members:44223"
14397,Chihayafuru 2,"['Drama', 'Game', 'Josei', 'Slice of Life', 'Sports']",TV,25,8.52,86074,"Drama, Game, Josei, Slice of Life, Sports TV 8.52","Drama, Game, Josei, Slice of Life, Sports TV Rating:72.59039999999999 Members:86074"
10087,Fate/Zero,"['Action', 'Fantasy', 'Supernatural']",TV,13,8.51,453630,"Action, Fantasy, Supernatural TV 8.51","Action, Fantasy, Supernatural TV Rating:72.42009999999999 Members:453630"
14719,JoJo no Kimyou na Bouken (TV),"['Action', 'Adventure', 'Shounen', 'Supernatural', 'Vampire']",TV,26,8.51,190197,"Action, Adventure, Shounen, Supernatural, Vampire TV 8.51","Action, Adventure, Shounen, Supernatural, Vampire TV Rating:72.42009999999999 Members:190197"
9756,Mahou Shoujo Madoka★Magica,"['Drama', 'Magic', 'Psychological', 'Thriller']",TV,12,8.51,462974,"Drama, Magic, Psychological, Thriller TV 8.51","Drama, Magic, Psychological, Thriller TV Rating:72.42009999999999 Members:462974"
10165,Nichijou,"['Comedy', 'School', 'Slice of Life']",TV,26,8.52,254436,"Comedy, School, Slice of Life TV 8.52","Comedy, School, Slice of Life TV Rating:72.59039999999999 Members:254436"
13601,Psycho-Pass,"['Action', 'Police', 'Psychological', 'Sci-Fi']",TV,22,8.5,509109,"Action, Police, Psychological, Sci-Fi TV 8.5","Action, Police, Psychological, Sci-Fi TV Rating:72.25 Members:509109"
22789,Barakamon,"['Comedy', 'Slice of Life']",TV,12,8.5,225927,"Comedy, Slice of Life TV 8.5","Comedy, Slice of Life TV Rating:72.25 Members:225927"
30230,Diamond no Ace: Second Season,"['Comedy', 'School', 'Shounen', 'Sports']",TV,51,8.5,38531,"Comedy, School, Shounen, Sports TV 8.5","Comedy, School, Shounen, Sports TV Rating:72.25 Members:38531"
18115,Magi: The Kingdom of Magic,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",TV,25,8.5,245026,"Action, Adventure, Fantasy, Magic, Shounen TV 8.5","Action, Adventure, Fantasy, Magic, Shounen TV Rating:72.25 Members:245026"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"['Drama', 'Magic', 'Psychological', 'Thriller']",Movie,1,8.5,135735,"Drama, Magic, Psychological, Thriller Movie 8.5","Drama, Magic, Psychological, Thriller Movie Rating:72.25 Members:135735"
11917,Major: World Series,"['Comedy', 'Drama', 'Sports']",OVA,2,8.5,13405,"Comedy, Drama, Sports OVA 8.5","Comedy, Drama, Sports OVA Rating:72.25 Members:13405"
